ID Messaggio,Nome Salone,Referente,Cellulare,Rating,Personalizzazione,Data Invio,Risposta,Data Risposta,Tipo Risposta,Note
REF001,TRISCELE Beauty,,+393275464407,4.8,SALONE,2026-06-08 16:27,,,,,
REF002,Esthena Nails e Benessere,,+393335469382,4.7,SALONE,2026-06-08 16:27,,,,,
REF003,Il Sogno della Bellezza - Centro Estetico a Catania,,+393453938087,5,SALONE,2026-06-08 16:27,,,,,
REF004,Il Sogno di ogni donna | Centro estetico Catania,,+393714480449,4.6,SALONE,2026-06-08 16:27,,,,,
REF005,Glamour Sole e Bellezza,,+393471079312,4.1,SALONE,2026-06-08 16:27,,,,,
REF006,Bioperla - Centro Estetico a Catania,,+393395929992,5,SALONE,2026-06-08 16:27,,,,,
REF007,Elite Estetica,,+393427675185,4.8,SALONE,2026-06-08 16:27,,,,,
REF008,Om Estetica,,+393928407565,5,SALONE,2026-06-08 16:27,,,,,
REF009,LM Beauty nails,,+393713360782,4.4,SALONE,2026-06-08 16:27,,,,,
REF010,MIDA nail care,,+393290646988,4.9,SALONE,2026-06-08 16:27,,,,,
REF011,WOW BEAUTY BAR: Centro estetico & Academia di Tanya & Olga Sindeeva,,+393355405415,4.9,SALONE,2026-06-08 16:27,,,,,
REF012,Nail Salon di Ylenia Torrisi,,+393932779198,5,SALONE,2026-06-08 16:27,,,,,
REF013,GV Place - Rinascente,,+393312942906,4.5,SALONE,2026-06-08 16:27,,,,,
REF014,Onico N𝒂𝒊𝒍𝒔 beauty Lab,,+393791601727,4.4,SALONE,2026-06-08 16:27,,,,,
REF015,VyBi Nails Catania di Viviana Barbagallo,,+393270325417,4.6,SALONE,2026-06-08 16:27,,,,,
REF016,Blossom beauty & spa,,+393477494303,4.6,SALONE,2026-06-08 16:27,,,,,
REF017,Coquette Wellness & Beauty - Catania,,+393899923613,4.8,SALONE,2026-06-08 16:27,,,,,
REF018,Centro Valclè Beauty & Pilates,,+393477090169,4.9,SALONE,2026-06-08 16:27,,,,,
REF019,Just Beauty,,+393445480767,5,SALONE,2026-06-08 16:27,,,,,
REF020,Centro Estetico EstèRelax Beauty&Nails,,+393711122241,4.8,SALONE,2026-06-08 16:27,,,,,
REF021,Accademia Nicotra Catania,,+393922467469,4.9,SALONE,2026-06-08 16:27,,,,,
REF022,Studio Estetica,,+393208165715,4.2,SALONE,2026-06-08 16:27,,,,,
REF023,Cristina Giuffrida Beauty Salon,,+393516808430,4.8,SALONE,2026-06-08 16:27,,,,,
REF024,Istituto di Bellezza di Santina Frazzetta,,+393939349220,4.8,SALONE,2026-06-08 16:27,,,,,
REF025,Namastè La Bottega Della Bellezza,,+393456356305,5,SALONE,2026-06-08 16:27,,,,,
REF026,Infinity Relax, estetica e benessere,,+393938188193,4.6,SALONE,2026-06-08 16:27,,,,,
REF027,Charme & Relax - Catania,,+393468568578,4.7,SALONE,2026-06-08 16:27,,,,,
REF028,Stella Nails Art,,+393755151706,5,SALONE,2026-06-08 16:27,,,,,
REF029,Ottava Nota Estetica,,+393208659625,4.9,SALONE,2026-06-08 16:27,,,,,
REF030,Vanità,,+393493730424,4.8,SALONE,2026-06-08 16:27,,,,,
